address,lat,lon,formatted_address,loc_type
1000 RIO RD E Charlottesville VA,38.0625888,-78.4637366,"1000 Rio Rd E, Charlottesville, VA 22901, USA",ROOFTOP
700 6TH ST SE Charlottesville VA,38.0250973,-78.4807277,"700 6th St SE, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1300 WILLOW DR Charlottesville VA,38.034948,-78.461517,"1300 Willow Dr, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
600 PRESTON PL Charlottesville VA,38.0411798,-78.4983413,"600 Preston Pl, Charlottesville, VA 22903, USA",ROOFTOP
800 HARDY DR Charlottesville VA,38.0334203,-78.4902161,"800 Hardy Dr, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
300 250 BYPASS Charlottesville VA,38.0392796,-78.4698776,"US-250 BYP, Charlottesville, VA, USA",GEOMETRIC_CENTER
900 CHARLTON AVE Charlottesville VA,38.0382901,-78.4872464,"900 Charlton Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
200 5TH ST NW Charlottesville VA,38.0316122,-78.487454,"200 5th St NW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
400 RIDGE MCINTIRE RD Charlottesville VA,38.0326424,-78.4845898,"400 Ridge McIntire Rd, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
800 CABELL AVE Charlottesville VA,38.0423007,-78.4965422,"800 Cabell Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
400 MONTICELLO AVE Charlottesville VA,38.0281989,-78.4844673,"400 Monticello Ave, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
600 E MARKET ST Charlottesville VA,38.0304127,-78.4774586,"600 E Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
300 CAMELIA DR Charlottesville VA,38.0122024,-78.5107629,"300 Camellia Dr, Charlottesville, VA 22903, USA",ROOFTOP
100 W MARKET ST Charlottesville VA,38.0315386,-78.4811438,"100 E Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
400 9TH ST SW Charlottesville VA,38.029559,-78.4947535,"400 9th St SW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1400 CHESAPEAKE ST Charlottesville VA,38.0257137,-78.462937,"1400 Chesapeake St, Charlottesville, VA 22902, USA",ROOFTOP
900 ROUGEMONT AVE Charlottesville VA,38.0149491,-78.4815715,"900 Rougemont Ave, Charlottesville, VA 22902, USA",ROOFTOP
1500 DAIRY RD Charlottesville VA,38.0522395,-78.4876341,"1500 Dairy Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1300 LONG ST Charlottesville VA,38.0354386,-78.4628756,"1300 Long St, Charlottesville, VA 22901, USA",ROOFTOP
1000 ALTAVISTA AVE Charlottesville VA,38.0180764,-78.4771336,"1000 Altavista Ave, Charlottesville, VA 22902, USA",ROOFTOP
100 MCCORMICK RD Charlottesville VA,38.0366348,-78.5045548,"100 McCormick Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
900 1ST ST S Charlottesville VA,38.0232593,-78.4857129,"900 1st St S, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
400 GARRETT ST Charlottesville VA,38.0279731,-78.4803241,"400 Garrett St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1000 CHERRY AVE Charlottesville VA,38.0264846,-78.4974462,"1000 Cherry Ave, Charlottesville, VA 22903, USA",ROOFTOP
400 PARK ST Charlottesville VA,38.031956,-78.4769473,"400 Park St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
900 ROCK CREEK RD Charlottesville VA,38.0207254,-78.4989084,"900 Rockcreek Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
500 MAIN ST Charlottesville VA,38.0307806,-78.487919,"500 W Main St, Charlottesville, VA 22903, USA",ROOFTOP
1900 ARLINGTON BLVD Charlottesville VA,38.04776,-78.5043574,"1900 Arlington Blvd, Charlottesville, VA 22903, USA",ROOFTOP
1100 5TH ST SW Charlottesville VA,38.01713,-78.497806,"1100 5th St SW, Charlottesville, VA 22902, USA",ROOFTOP
900 E MARKET ST Charlottesville VA,38.0294993,-78.4750778,"900 E Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1600 CHERRY AVE Charlottesville VA,38.023772,-78.5065517,"1600 Cherry Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
800 W MAIN ST Charlottesville VA,38.0317157,-78.490864,"800 W Main St, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1200 EMMET ST N Charlottesville VA,38.052833,-78.498468,"1200 Emmet St N, Charlottesville, VA 22903, USA",ROOFTOP
200 FAIRWAY AVE Charlottesville VA,38.0248886,-78.4636839,"200 Fairway Ave, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
600 DICE ST Charlottesville VA,38.0292018,-78.489851,"600 Dice St, Charlottesville, VA 22903, USA",ROOFTOP
700 PROSPECT AVE Charlottesville VA,38.0245896,-78.4946679,"700 Prospect Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
400 15TH ST NW Charlottesville VA,38.0384698,-78.4982486,"400 15th St NW, Charlottesville, VA 22903, USA",ROOFTOP
1700 GORDON AVE Charlottesville VA,38.0403839,-78.4999182,"1700 Gordon Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1300 CARLTON AVE Charlottesville VA,38.021904,-78.469026,"1300 Carlton Ave, Charlottesville, VA 22902, USA",ROOFTOP
2200 NORTH BERKSHIRE RD Charlottesville VA,38.0636945,-78.49734,"2200 N Berkshire Rd, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
500 HARRIS RD Charlottesville VA,38.0150926,-78.5036624,"500 Harris Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1100 EMMET ST Charlottesville VA,38.0513687,-78.5000734,"1100 Emmet St N, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
700 CHERRY AVE Charlottesville VA,38.0276512,-78.4915565,"700 Cherry Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 14TH ST NW Charlottesville VA,38.0340488,-78.4995873,"100 14th St NW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1300 POPLAR ST Charlottesville VA,38.0328671,-78.4670975,"1300 Poplar St, Charlottesville, VA 22902, USA",ROOFTOP
1300 E MARKET ST Charlottesville VA,38.0263818,-78.4673838,"1300 E Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
2000 MICHIE DR Charlottesville VA,38.058675,-78.4873719,"2000 Michie Dr, Charlottesville, VA 22901, USA",ROOFTOP
1100 PRESTON AVE Charlottesville VA,38.0420337,-78.4922517,"1100 Preston Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1400 MELBOURNE RD Charlottesville VA,38.0523149,-78.4759642,"1400 Melbourne Rd, Charlottesville, VA 22901, USA",ROOFTOP
1000 BELMONT AVE Charlottesville VA,38.0227728,-78.4744547,"1000 Belmont Ave, Charlottesville, VA 22902, USA",ROOFTOP
900 PRESTON AVE Charlottesville VA,38.0369919,-78.4894474,"900 Preston Ave, Charlottesville, VA 22903, USA",ROOFTOP
1200 GRADY AVE Charlottesville VA,38.0394575,-78.4943415,"1200 Grady Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
400 PRESTON AVE Charlottesville VA,38.033464,-78.4844059,"400 Preston Ave, Charlottesville, VA 22903, USA",ROOFTOP
200 E MAIN ST Charlottesville VA,38.0305635,-78.4807349,"200 E Main St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
